1592,14
1593,4
1594,4
1595,7
1596,8
1597,10
1598,5
1599,3
1600,14
1601,4
1602,5
1603,8
1604,9
1605,9
1606,1
1607,8
1608,2
1609,11
1610,12
1611,10
1612,4
1613,7
1614,9
1615,15
1616,15
1617,13
1618,6
1619,1
1620,13
1621,13
1622,6
1623,1
1624,8
1625,2
1626,5
1627,12
1628,1
1629,16
1630,2
1631,3
1632,15
1633,2
1634,9
1635,10
1636,1
1637,9
1638,14
1639,14
1640,6
1641,8
1642,2
1643,4
1644,7
1645,7
1646,10
1647,8
1648,5
1649,12
1650,1
1651,15
1652,11
1653,9
1654,11
1655,5
1656,15
1657,9
1658,9
1659,14
1660,15
1661,9
1662,14
1663,1
1664,6
1665,1
1666,12
1667,15
1668,9
1669,6
1670,16
1671,5
1672,5
1673,9
1674,12
1675,16
1676,11
1677,7
1678,16
1679,10
1680,11
1681,15
1682,12
1683,16
1684,7
1685,5
1686,3
1687,13
1688,8
1689,6
1690,13
1691,2
1692,5
1693,12
1694,6
1695,2
1696,3
1697,2
1698,1
1699,15
1700,11
1701,3
1702,1
1703,2
1704,3
1705,13
1706,13
1707,11
1708,12
1709,8
1710,9
1711,11
1712,10
1713,11
1714,15
1715,10
1716,13
1717,12
1718,2
1719,5
1720,10
1721,6
1722,3
1723,4
1724,15
1725,3
1726,7
1727,13
1728,5
1729,10
1730,8
1731,13
1732,3
1733,15
1734,10
1735,14
1736,6
1737,1
1738,1
1739,1
1740,5
1741,3
1742,2
1743,11
1744,12
1745,7
1746,14
1747,9
1748,5
1749,12
1750,12
1751,5
1752,5
1753,12
1754,15
1755,6
1756,9
1757,10
1758,15
1759,7
1760,10
1761,5
1762,1
1763,11
1764,3
1765,4
1766,8
1767,10
1768,16
1769,6
1770,5
1771,15
1772,8
1773,3
1774,1
1775,4
1776,8
1777,1
1778,2
1779,2
1780,15
1781,2
1782,10
1783,2
1784,6
1785,14
1786,13
1787,16
1788,13
1789,15
1790,10
1791,13
1792,7
1793,7
1794,5
1795,11
1796,6
1797,2
1798,6
1799,12
1800,15
1801,8
1802,15
1803,7
1804,9
1805,6
1806,12
1807,12
1808,14
1809,5
1810,1
1811,10
1812,13
1813,13
1814,5
1815,8
1816,2
1817,14
1818,2
1819,10
1820,16
1821,3
1822,15
1823,14
1824,9
1825,2
1826,8
1827,2
1828,13
1829,7
1830,12
1831,1
1832,6
1833,4
1834,12
1835,15
1836,5
1837,10
1838,8
1839,8
1840,7
1841,4
1842,15
1843,7
1844,6
1845,2
1846,2
1847,4
1848,11
1849,15
1850,9
1851,15
1852,13
1853,12
1854,1
1855,8
1856,4
1857,6
1858,5
1859,1
1860,15
1861,3
1862,14
1863,11
1864,14
1865,16
1866,9
1867,6
1868,7
1869,5
1870,13
1871,9
1872,15
1873,1
1874,6
1875,2
1876,1
1877,11
1878,4
1879,4
1880,16
1881,15
1882,6
1883,7
1884,13
1885,7
1886,6
1887,6
1888,14
1889,16
1890,13
1891,12
1892,8
1893,13
1894,7
1895,12
1896,13
1897,3
1898,1
1899,14
1900,13
1901,13
1902,2
1903,1
1904,15
1905,11
1906,2
1907,11
1908,8
1909,9
1910,16
1911,14
1912,10
1913,10
1914,1
1915,1
1916,8
1917,7
1918,15
1919,13
1920,11
1921,16
1922,3
1923,12
1924,4
1925,5
1926,11
1927,5
1928,2
1929,3
1930,16
1931,5
1932,11
1933,10
1934,15
1935,6
1936,9
1937,9
1938,11
1939,3
1940,5
1941,11
1942,6
1943,15
1944,4
1945,11
1946,5
1947,10
1948,5
1949,1
1950,16
1951,10
1952,7
1953,3
1954,16
1955,16
1956,12
1957,16
1958,16
1959,8
1960,11
1961,8
1962,12
1963,8
1964,4
1965,1
1966,4
1967,10
1968,9
1969,3
1970,4
1971,6
1972,8
1973,3
1974,1
1975,16
1976,2
1977,4
1978,8
1979,1
1980,8
1981,2
1982,5
1983,4
1984,15
1985,4
1986,7
1987,11
1988,13
1989,14
1990,15
1991,14
1992,8
1993,3
1994,1
1995,6
1996,7
1997,14
1998,8
1999,12
2000,13
2001,8
2002,11
2003,11
2004,15
2005,10
2006,10
2007,3
2008,15
2009,12
2010,12
2011,8
2012,3
2013,14
2014,5
2015,12
2016,9
2017,13
2018,13
2019,9
2020,15
2021,2
2022,5
2023,14
2024,14
2025,14
2026,16
2027,7
2028,14
2029,9
2030,14
2031,2
2032,9
2033,10
2034,12
2035,10
2036,13
2037,1
2038,12
2039,2
2040,13
2041,2
2042,9
2043,6
2044,12
2045,9
2046,4
2047,12
2048,4
2049,10
2050,12
2051,13
2052,15
2053,3
2054,11
2055,14
2056,12
2057,2
2058,15
2059,16
2060,2
2061,1
2062,13
2063,1
2064,5
2065,2
2066,6
2067,12
2068,12
2069,10
2070,4
2071,14
2072,11
2073,12
2074,9
2075,10
2076,5
2077,2
2078,10
2079,15
2080,7
2081,1
2082,14
2083,8
2084,3
2085,3
2086,15
2087,3
2088,11
2089,9
2090,11
2091,15
2092,8
2093,7
2094,14
2095,1
2096,14
2097,11
2098,11
2099,1
2100,1
2101,12
2102,16
2103,8
2104,1
2105,5
2106,1
2107,9
2108,4
2109,16
2110,6
2111,9
2112,7
2113,7
2114,9
2115,2
2116,2
2117,4
2118,5
2119,6
2120,4
2121,2
2122,10
2123,1
2124,6
2125,5
2126,16
2127,3
2128,10
2129,11
2130,6
2131,6
2132,15
2133,6
2134,11
2135,14
2136,9
2137,15
2138,14
2139,9
2140,9
2141,5
2142,7
2143,1
2144,11
2145,3
2146,7
2147,10
2148,12
2149,2
2150,6
2151,4
2152,8
2153,5
2154,13
2155,11
2156,5
2157,5
2158,9
2159,11
2160,9
2161,16
2162,8
2163,12
2164,8
2165,16
2166,14
2167,15
2168,3
2169,16
2170,10
2171,1
2172,5
2173,15
2174,15
2175,6
2176,12
2177,14
2178,12
2179,10
2180,1
2181,12
2182,7
2183,8
2184,16
2185,2
2186,4
2187,2
2188,10
2189,12
2190,9
2191,5
2192,8
2193,6
2194,13
2195,15
2196,13
2197,6
2198,6
2199,9
2200,3
2201,15
2202,10
2203,1
2204,4
2205,9
2206,15
2207,9
2208,12
2209,7
2210,3
2211,10
2212,8
2213,10
2214,11
2215,6
2216,1
2217,2
2218,2
2219,12
2220,3
2221,8
2222,4
2223,11
2224,10
2225,1
2226,4
2227,4
2228,14
2229,13
2230,3
2231,5
2232,2
2233,5
2234,5
2235,7
2236,16
2237,2
2238,4
2239,8
2240,16
2241,10
2242,9
2243,9
2244,6
2245,8
2246,6
2247,7
2248,3
2249,2
2250,2
2251,11
2252,9
2253,8
2254,4
2255,13
2256,8
2257,12
2258,4
2259,14
2260,2
2261,5
2262,3
2263,14
2264,12
2265,12
2266,6
2267,16
2268,13
2269,3
2270,6
2271,16
2272,4
2273,1
2274,13
2275,9
2276,2
2277,8
2278,14
2279,6
2280,6
2281,16
2282,6
2283,1
2284,7
2285,15
2286,3
2287,9
2288,6
2289,11
2290,1
2291,5
2292,14
2293,12
2294,9
2295,4
2296,12
2297,14
2298,1
2299,6
2300,3
2301,12
2302,14
2303,6
2304,9
2305,16
2306,12
2307,13
2308,15
2309,14
2310,1
2311,2
2312,16
2313,8
2314,9
2315,5
2316,11
2317,13
2318,7
2319,12
2320,8
2321,2
2322,8
2323,2
2324,11
2325,5
2326,5
2327,13
2328,11
2329,10
2330,4
2331,15
2332,1
2333,3
2334,9
2335,16
2336,11
2337,11
2338,12
2339,10
2340,16
2341,2
2342,12
2343,3
2344,4
2345,11
2346,1
2347,10
2348,15
2349,16
2350,13
2351,8
2352,5
2353,4
2354,11
2355,5
2356,8
2357,11
2358,14
2359,15
2360,16
2361,6
2362,12
2363,16
2364,13
2365,4
2366,2
2367,6
2368,13
2369,4
2370,13
2371,5
2372,12
2373,6
2374,15
2375,3
2376,9
2377,8
2378,9
2379,10
2380,7
2381,1
2382,6
2383,2
2384,12
2385,3
2386,2
2387,11
2388,9
2389,7
2390,2
2391,6
2392,14
2393,3
2394,12
2395,14
2396,16
2397,10
2398,8
2399,11
2400,2
2401,4
2402,6
2403,7
2404,14
2405,9
2406,6
2407,13
2408,11
2409,3
2410,11
2411,8
2412,11
2413,9
2414,16
2415,3
2416,7
2417,4
2418,12
2419,12
2420,5
2421,12
2422,9
2423,2
2424,10
2425,2
2426,7
2427,3
2428,6
2429,2
2430,2
2431,12
2432,6
2433,10
2434,3
2435,8
2436,13
2437,11
2438,14
2439,4
2440,6
2441,13
2442,7
2443,9
2444,13
2445,14
2446,2
2447,5
2448,3
2449,1
2450,10
2451,9
2452,12
2453,14
2454,9
2455,15
2456,12
2457,15
2458,6
2459,2
2460,2
2461,2
2462,14
2463,2
2464,7
2465,3
2466,3
2467,12
2468,9
2469,11
2470,5
2471,12
2472,3
2473,12
2474,13
2475,2
2476,3
2477,10
2478,13
2479,6
2480,16
2481,7
2482,12
2483,10
2484,2
2485,5
2486,12
2487,7
2488,6
2489,1
2490,5
2491,12
2492,12
2493,5
2494,15
2495,14
2496,10
2497,9
2498,14
2499,6
2500,7
2501,14
2502,2
2503,6
2504,11
2505,3
2506,1
2507,15
2508,11
2509,5
2510,13
2511,7
2512,9
2513,5
2514,13
2515,12
2516,3
2517,5
2518,3
2519,8
2520,14
2521,11
2522,8
2523,4
2524,13
2525,2
2526,15
2527,6
2528,12
2529,5
2530,5
2531,2
2532,12
2533,2
2534,13
2535,5
2536,1
2537,2
2538,10
2539,10
2540,9
2541,4
2542,4
2543,2
